sample_id,date,region,community,water_source,season,temperature_c,rainfall_mm,ph_level,turbidity_ntu,dissolved_oxygen_mg_l,nitrate_mg_l,coliform_count_cfu,lead_ppm,disease_cases_reported,disease_risk_score,risk_category
WQ-00031,2025-07-09,North Central,Kimberlyland,Borehole,Dry,29.5,82.1,7.29,7.94,5.79,17.32,23,0.026,5,13.0,Low
WQ-00032,2025-05-06,North East,New Ralphborough,Lake,Rainy,28.2,87.8,6.64,11.96,5.48,14.52,302,0.061,3,19.3,Low
WQ-00033,2025-05-05,North Central,South Dana,Tap,Rainy,25.6,46.6,7.27,12.1,6.65,7.27,152,0.05,3,13.5,Low
WQ-00034,2025-02-07,South East,New Nicole,Rainwater,Rainy,30.5,38.3,6.87,19.81,4.32,22.84,131,0.024,2,17.0,Low
WQ-00035,2025-10-28,North Central,New Monicachester,Lake,Dry,28.4,109.0,7.69,19.76,7.61,29.77,234,0.025,1,24.1,Low
WQ-00036,2022-08-17,South South,Adamfurt,Well,Rainy,26.7,26.6,4.94,22.83,6.33,27.38,41,0.006,0,20.3,Low
WQ-00037,2024-07-18,North West,Janiceside,Tap,Dry,28.0,41.8,7.01,12.38,5.82,21.23,21,0.024,2,12.7,Low
WQ-00038,2024-10-22,North Central,Shaunbury,Lake,Rainy,31.2,91.1,7.4,6.01,8.83,16.16,291,0.033,3,15.8,Low
WQ-00039,2025-07-04,North East,Meyermouth,Rainwater,Dry,29.6,82.6,6.48,9.26,3.9,29.44,256,0.025,3,18.7,Low
WQ-00040,2022-11-10,North West,Elizabethville,Lake,Dry,30.9,42.6,4.96,11.56,7.08,14.67,98,0.026,2,16.1,Low
WQ-00041,2025-05-11,North West,Landrybury,River,Dry,22.6,47.6,6.92,19.64,5.02,20.04,86,0.002,1,14.9,Low
WQ-00042,2022-08-18,North West,New Rebecca,Tap,Dry,26.6,13.1,7.07,6.26,6.35,15.42,211,0.078,0,13.2,Low
WQ-00043,2022-04-29,North West,Stewartchester,Well,Dry,26.6,27.9,6.12,16.64,5.68,2.72,434,0.018,2,15.4,Low
WQ-00044,2022-06-25,North East,Port Mariah,Rainwater,Dry,29.3,42.0,5.83,12.64,8.79,9.57,52,0.006,1,12.0,Low
WQ-00045,2024-12-26,South West,Sheliabury,Tap,Dry,22.8,19.1,9.02,19.05,6.49,29.8,159,0.004,3,19.9,Low
WQ-00046,2025-01-30,North East,Shermanview,River,Rainy,23.5,8.9,4.7,19.53,6.54,16.27,106,0.02,1,17.9,Low
WQ-00047,2023-03-10,North East,Port Patrick,Well,Rainy,25.5,23.8,7.06,5.35,6.91,14.5,121,0.006,3,7.8,Low
WQ-00048,2023-10-01,South South,South Maria,Lake,Dry,29.0,13.9,9.45,24.96,7.9,7.38,82,0.01,2,17.9,Low
WQ-00049,2024-06-16,South East,Mariachester,Lake,Rainy,28.0,15.0,5.63,14.14,10.68,1.11,132,0.014,0,11.2,Low
WQ-00050,2023-05-23,South South,Dominguezmouth,Tap,Dry,31.0,20.5,8.33,18.17,5.41,39.34,62,0.011,4,19.7,Low
WQ-00051,2022-02-13,North East,Nicholaschester,Borehole,Rainy,27.3,29.5,6.86,12.91,5.61,20.88,111,0.017,3,12.9,Low
WQ-00052,2025-04-20,South South,Millerside,Rainwater,Dry,25.9,64.3,4.55,3.94,3.69,11.48,152,0.097,2,19.5,Low
WQ-00053,2025-12-20,North East,Fowlerview,Borehole,Dry,30.6,35.9,5.23,21.15,7.01,10.85,225,0.121,3,25.2,Low
WQ-00054,2022-05-19,South West,North Dianeburgh,Borehole,Dry,30.3,15.8,8.81,15.22,5.98,23.29,304,0.012,1,18.6,Low
WQ-00055,2024-11-18,North Central,East Michelle,Well,Dry,30.9,65.3,7.5,27.01,5.34,2.55,63,0.09,2,21.2,Low
WQ-00056,2023-03-15,North East,Lake Angie,Well,Rainy,27.7,158.8,7.13,17.81,7.22,17.24,55,0.049,6,21.9,Low
WQ-00057,2023-05-13,South South,Flemingmouth,River,Rainy,37.2,48.8,6.81,8.58,4.98,1.55,248,0.033,1,10.9,Low
WQ-00058,2022-07-13,South East,Oscarstad,Tap,Dry,25.7,97.7,5.65,10.81,6.49,1.81,246,0.024,2,16.0,Low
WQ-00059,2023-12-27,North Central,Williamshaven,Lake,Rainy,25.9,12.1,7.0,13.27,5.48,16.49,56,0.057,1,13.0,Low
WQ-00060,2022-04-21,South East,Fordland,Tap,Rainy,37.3,12.1,6.69,24.03,2.52,25.92,299,0.053,1,21.7,Low
WQ-00061,2022-05-05,South West,North Christinefurt,Lake,Dry,21.4,17.0,6.57,11.44,7.23,7.27,139,0.031,0,10.8,Low
WQ-00062,2022-08-12,South East,Greenbury,Lake,Rainy,29.9,11.9,7.12,10.96,7.25,4.47,107,0.021,0,8.2,Low
WQ-00063,2025-01-03,North East,North Andre,River,Dry,29.8,46.2,8.98,3.94,5.51,5.63,50,0.101,3,15.7,Low
WQ-00064,2023-01-11,South East,Julieburgh,River,Rainy,32.3,5.5,5.46,26.04,3.38,31.96,175,0.026,3,22.9,Low
WQ-00065,2022-06-04,North West,Romeromouth,Tap,Dry,27.5,37.4,9.59,17.38,5.57,10.82,4,0.034,1,17.9,Low
WQ-00066,2022-04-14,South East,Vanessashire,Rainwater,Dry,20.5,49.7,8.23,15.78,6.88,24.83,349,0.071,3,23.8,Low
WQ-00067,2022-07-11,South West,East Autumn,Rainwater,Dry,24.5,34.0,6.58,13.59,4.35,20.81,32,0.002,2,12.2,Low
WQ-00068,2024-09-21,North East,Sandersfort,River,Rainy,23.2,158.0,7.11,13.43,7.41,0.19,149,0.004,2,14.9,Low
WQ-00069,2022-05-01,South East,Port Martinstad,River,Rainy,26.9,103.1,5.13,8.8,7.25,20.33,19,0.067,2,20.6,Low
WQ-00070,2024-03-10,North East,Port Paige,Tap,Dry,26.7,52.1,8.28,12.96,7.73,21.19,304,0.072,3,21.8,Low
WQ-00071,2024-05-16,North West,North Michelleton,Tap,Rainy,30.3,36.9,5.7,20.43,6.44,21.82,153,0.031,2,19.9,Low
WQ-00072,2022-11-14,South West,East Catherineburgh,Lake,Rainy,21.4,48.0,7.27,8.17,8.38,6.05,127,0.012,2,9.2,Low
WQ-00073,2022-04-30,North East,Port Joseph,Well,Dry,30.5,41.2,7.1,20.52,5.72,29.09,425,0.015,6,21.0,Low
WQ-00074,2023-10-05,South South,New Jonathantown,Lake,Dry,25.8,16.6,5.8,5.86,6.45,17.34,336,0.01,2,12.9,Low
WQ-00075,2024-10-26,North Central,North Zoe,Borehole,Rainy,26.3,16.2,6.94,17.4,4.82,18.82,169,0.05,2,16.0,Low
WQ-00076,2024-11-06,South South,New Stephen,River,Dry,24.9,20.1,6.24,21.51,8.63,9.29,50,0.049,2,16.0,Low
WQ-00077,2025-05-03,North Central,Lake Alecfurt,River,Dry,36.4,63.9,6.26,8.9,6.93,18.34,229,0.11,1,20.8,Low
WQ-00078,2024-04-06,North Central,East Wendyburgh,Lake,Dry,21.5,17.8,5.99,11.93,7.54,4.39,267,0.005,2,11.2,Low
WQ-00079,2025-03-31,North Central,Lake Breanna,Rainwater,Dry,29.7,107.4,7.29,14.44,7.9,19.22,198,0.059,5,20.9,Low
WQ-00080,2024-05-08,South South,Port Taylormouth,Borehole,Dry,25.5,16.1,7.44,8.85,6.54,27.78,172,0.032,1,14.3,Low
WQ-00081,2023-06-19,South West,Isaiahchester,Rainwater,Rainy,29.6,126.2,7.32,8.79,7.31,15.48,295,0.028,1,18.0,Low
WQ-00082,2023-05-04,North East,Port Jenniferberg,Lake,Rainy,27.7,45.0,8.29,3.79,6.7,8.0,293,0.031,0,12.7,Low
WQ-00083,2025-10-07,North West,Lake Vanessa,Tap,Dry,28.5,21.5,8.88,11.47,5.67,33.81,23,0.058,3,19.8,Low
WQ-00084,2023-10-10,South West,Rivasstad,Well,Rainy,28.0,20.8,6.73,2.82,6.33,21.33,2,0.096,2,12.9,Low
WQ-00085,2025-06-26,North Central,Williamsfort,Borehole,Rainy,26.0,43.3,7.09,10.16,7.93,11.57,210,0.029,0,12.4,Low
WQ-00086,2025-01-06,South South,North Richardport,Borehole,Dry,28.4,46.6,7.55,16.86,5.08,18.23,299,0.05,1,19.5,Low
WQ-00087,2022-09-29,North East,East Christopherburgh,Rainwater,Rainy,28.5,17.4,6.95,0.55,6.69,8.19,250,0.004,0,5.6,Low
WQ-00088,2024-01-27,North West,Whitneymouth,Borehole,Dry,25.9,32.7,6.46,7.39,4.12,22.6,244,0.047,1,15.4,Low
WQ-00089,2025-01-17,North West,Pamelaland,River,Rainy,23.1,32.1,9.88,11.82,7.29,32.82,44,0.032,1,20.8,Low
WQ-00090,2025-09-29,South West,Port Paul,Well,Dry,26.3,17.8,9.16,17.13,5.64,20.73,317,0.067,0,23.1,Low
WQ-00091,2022-10-03,South South,Atkinshaven,Well,Dry,34.2,43.5,8.07,17.08,8.07,9.65,308,0.038,4,18.1,Low
WQ-00092,2025-02-07,North West,Port Melissa,Borehole,Dry,22.9,21.4,6.97,29.14,9.09,19.36,154,0.035,2,19.7,Low
WQ-00093,2025-05-23,North East,West Brent,Well,Rainy,31.4,30.6,6.42,24.59,4.66,0.36,176,0.072,5,18.2,Low
WQ-00094,2023-02-21,North East,North Josephhaven,Lake,Rainy,29.6,7.0,7.64,1.97,8.57,22.77,198,0.003,1,9.1,Low
WQ-00095,2024-11-01,South West,Callahanhaven,Lake,Rainy,28.3,26.4,7.65,9.04,7.66,13.49,287,0.04,0,14.1,Low
WQ-00096,2022-07-09,South East,West Amandaside,Well,Dry,28.5,31.1,5.45,21.29,5.8,18.47,144,0.049,1,20.8,Low
WQ-00097,2022-04-01,South West,Crystalbury,Tap,Rainy,27.3,10.0,6.69,21.87,7.47,1.08,49,0.051,0,13.2,Low
WQ-00098,2025-07-28,North Central,Hessmouth,Well,Dry,25.7,120.8,7.44,22.39,6.05,18.8,110,0.008,0,20.7,Low
WQ-00099,2025-02-03,North West,Theresatown,River,Rainy,29.9,34.7,6.84,3.72,6.22,19.48,79,0.03,0,10.0,Low
WQ-00100,2022-08-18,South West,Marymouth,Tap,Dry,30.7,43.1,4.48,35.5,5.19,19.03,37,0.056,4,28.2,Low
WQ-00101,2025-01-22,North Central,Johnsonbury,Lake,Dry,26.2,39.3,6.96,28.03,7.94,18.08,96,0.033,4,19.2,Low
WQ-00102,2024-05-30,North Central,Sullivanville,Well,Dry,33.5,11.6,8.21,9.98,7.01,29.35,217,0.044,2,17.5,Low
WQ-00103,2024-01-17,North East,East Timothy,Borehole,Rainy,29.4,54.9,8.55,9.91,6.68,4.71,3,0.036,2,12.8,Low
WQ-00104,2025-10-28,North Central,Walkerland,Well,Dry,24.4,9.5,7.2,6.4,8.13,30.34,119,0.003,2,10.7,Low
WQ-00105,2023-12-26,North East,Edwardfurt,Lake,Dry,21.4,6.3,9.79,17.8,7.52,20.75,119,0.046,1,20.8,Low
WQ-00106,2023-04-30,South South,Joshuamouth,Tap,Dry,26.2,49.7,4.97,11.21,5.02,3.96,171,0.086,3,18.6,Low
WQ-00107,2022-02-20,North East,Franciscoton,River,Rainy,23.1,27.9,5.84,16.41,9.27,17.22,169,0.007,2,15.4,Low
WQ-00108,2024-04-23,North East,Lake Peter,Lake,Rainy,27.9,82.4,7.57,13.11,8.31,18.84,115,0.046,2,18.0,Low
WQ-00109,2023-07-01,South West,Beckerburgh,Lake,Dry,22.0,18.5,7.96,7.52,9.23,6.72,178,0.001,1,8.9,Low
WQ-00110,2024-02-23,North East,New Duane,Lake,Dry,29.1,17.7,6.78,10.96,6.57,13.53,265,0.118,1,18.2,Low
WQ-00111,2023-02-13,North Central,Lake Katherineberg,Tap,Dry,26.6,45.2,6.07,25.42,5.67,20.69,345,0.015,2,22.2,Low
WQ-00112,2023-04-12,South East,Krystalfort,Well,Rainy,26.2,12.2,6.15,12.27,5.35,17.34,36,0.043,1,13.4,Low
WQ-00113,2024-03-27,North East,Coleberg,Borehole,Dry,30.3,10.8,9.01,15.35,5.44,14.44,216,0.033,2,17.4,Low
WQ-00114,2023-07-26,North West,North Heatherville,Well,Dry,23.3,35.5,6.12,21.89,8.14,21.09,18,0.017,6,17.2,Low
WQ-00115,2025-10-23,North West,West Dale,Lake,Rainy,24.9,43.6,7.85,19.65,5.32,1.69,70,0.05,2,15.4,Low
WQ-00116,2022-08-25,South South,Port Crystalland,Well,Dry,30.3,34.1,7.1,11.21,7.88,12.1,182,0.043,2,13.0,Low
WQ-00117,2022-03-20,North West,Tranport,River,Rainy,22.2,25.0,7.03,11.93,8.13,19.75,146,0.063,2,15.1,Low
WQ-00118,2023-12-09,North Central,South Bryanfort,Rainwater,Rainy,16.9,35.0,6.27,10.5,6.58,20.3,141,0.049,2,15.7,Low
WQ-00119,2025-05-26,South West,South Jamesport,Well,Rainy,28.1,16.8,8.84,21.75,6.18,29.91,167,0.017,2,21.4,Low
WQ-00120,2025-03-26,South South,East Tracyburgh,Borehole,Rainy,25.5,18.2,6.53,13.36,6.74,15.03,202,0.078,2,16.8,Low
WQ-00121,2024-06-12,North East,Woodtown,Well,Dry,22.8,28.2,5.36,10.2,4.74,3.02,214,0.06,1,15.0,Low
WQ-00122,2024-01-16,North Central,Walkermouth,Rainwater,Dry,24.7,1.2,8.04,5.63,6.66,3.81,30,0.029,1,7.1,Low
WQ-00123,2025-06-30,South East,New Vincent,Borehole,Rainy,22.2,32.3,6.79,25.69,4.44,1.14,326,0.022,5,16.5,Low
WQ-00124,2023-09-08,North West,Thompsonview,Lake,Dry,29.7,22.3,6.89,19.37,8.62,27.14,183,0.062,1,19.7,Low
WQ-00125,2023-10-31,South South,Kingstad,Well,Rainy,22.2,35.0,9.42,13.09,5.95,16.85,11,0.009,3,15.5,Low
WQ-00126,2025-02-09,South East,West Jeffport,Lake,Rainy,31.7,55.6,7.73,22.49,4.62,9.98,183,0.007,3,16.9,Low
WQ-00127,2025-09-23,North East,West Daniellechester,River,Rainy,32.8,104.7,7.65,20.58,5.95,6.61,24,0.049,3,18.9,Low
WQ-00128,2025-06-14,South East,Jonestown,Lake,Dry,26.1,26.7,5.39,19.3,6.96,17.66,250,0.003,5,18.0,Low
WQ-00129,2025-01-27,South South,Jesseberg,Well,Rainy,28.3,34.1,7.48,6.79,5.71,20.86,298,0.031,3,14.3,Low
WQ-00130,2023-03-07,North Central,Port Michelle,Well,Rainy,29.3,5.4,7.39,19.2,5.57,19.78,119,0.029,3,15.2,Low
WQ-00131,2024-08-10,South East,Stephenfurt,Rainwater,Rainy,32.2,23.6,9.0,15.16,4.71,19.45,293,0.006,1,18.1,Low
WQ-00132,2024-11-12,South East,West Ericashire,Tap,Dry,23.9,53.0,5.26,3.15,5.82,6.8,51,0.054,3,12.6,Low
WQ-00133,2025-09-11,South East,East Mariaburgh,Lake,Dry,33.7,17.5,5.17,22.1,5.67,40.58,82,0.037,6,24.1,Low
WQ-00134,2022-07-11,North Central,Stevensland,Well,Rainy,27.0,80.0,6.8,8.37,7.54,24.55,160,0.089,1,19.6,Low
WQ-00135,2023-04-06,North East,Davidborough,Lake,Rainy,24.1,4.6,7.58,1.08,6.78,20.77,373,0.013,1,10.5,Low
WQ-00136,2022-04-05,North East,Joshuatown,River,Dry,31.6,26.1,9.26,24.35,5.77,3.8,166,0.041,2,19.9,Low
WQ-00137,2024-07-21,North East,Deannamouth,Tap,Dry,31.1,28.5,7.62,7.74,4.75,13.72,146,0.101,3,16.1,Low
WQ-00138,2025-11-27,South East,South Ashleyville,Lake,Dry,23.0,41.7,7.42,12.97,5.04,6.08,192,0.021,1,12.2,Low
WQ-00139,2023-05-15,South East,East Deanna,Tap,Rainy,25.8,92.4,6.97,6.02,2.86,23.84,238,0.019,0,15.3,Low
WQ-00140,2022-08-07,North East,South Josehaven,Lake,Dry,28.0,35.6,5.12,7.77,7.69,2.46,185,0.024,3,12.3,Low
WQ-00141,2025-11-26,South East,West Michaelside,River,Dry,24.1,16.5,8.22,33.31,6.06,16.52,195,0.102,2,27.4,Low
WQ-00142,2025-02-15,South South,Mcintyreland,Tap,Dry,28.7,62.5,9.12,3.73,5.43,15.74,317,0.032,1,17.1,Low
WQ-00143,2022-10-01,North East,Lake Anthony,Borehole,Rainy,24.5,51.4,6.42,4.37,6.68,31.25,188,0.02,3,14.7,Low
WQ-00144,2024-06-25,South East,Nelsonland,Lake,Rainy,30.5,31.4,5.83,11.96,8.06,20.05,307,0.007,2,15.9,Low
WQ-00145,2025-01-27,South South,Michaelhaven,Lake,Rainy,30.7,18.9,8.43,16.29,7.65,13.08,3,0.035,3,14.7,Low
WQ-00146,2024-07-10,South East,East Elizabethshire,River,Rainy,25.9,47.4,6.6,8.77,5.07,19.24,397,0.013,0,15.1,Low
WQ-00147,2024-12-03,North West,Lake Marktown,River,Rainy,27.8,40.0,6.9,15.62,4.91,19.28,127,0.069,1,17.5,Low
WQ-00148,2023-07-17,South East,Wongmouth,Lake,Dry,31.7,154.9,6.03,16.77,6.91,18.04,366,0.044,4,26.0,Low
WQ-00149,2023-04-26,South East,East Jeremyshire,Borehole,Rainy,32.2,32.7,7.65,5.28,5.65,10.89,70,0.051,3,11.0,Low
WQ-00150,2025-01-11,North West,Davidshire,Well,Rainy,26.6,76.0,5.92,14.59,4.73,26.88,94,0.038,2,20.1,Low
WQ-00151,2023-04-19,North Central,South Charlesland,River,Dry,25.0,57.7,7.15,27.51,5.0,8.22,211,0.037,5,19.6,Low
WQ-00152,2025-12-17,South East,New Luis,Lake,Dry,29.7,110.4,4.95,6.22,6.71,26.01,180,0.027,1,20.6,Low
WQ-00153,2024-04-14,North East,Charlesmouth,Borehole,Rainy,26.1,45.4,7.62,9.92,7.61,21.15,37,0.073,3,16.4,Low
WQ-00154,2024-05-01,North West,Lopezport,Rainwater,Rainy,28.5,106.9,4.74,9.63,4.09,22.79,276,0.005,0,21.1,Low
WQ-00155,2024-03-08,North Central,Lake Brenda,River,Rainy,30.8,99.9,7.88,6.81,6.62,10.33,61,0.031,2,13.9,Low
WQ-00156,2025-03-25,South South,East Andreaville,Lake,Dry,30.9,48.0,7.78,33.5,3.78,8.12,326,0.016,5,22.4,Low
WQ-00157,2023-12-22,South East,Higginsport,Tap,Dry,22.9,57.9,6.7,5.25,9.76,13.24,164,0.052,3,13.0,Low
WQ-00158,2025-01-07,North West,Port Ralph,Tap,Rainy,24.0,9.5,6.74,4.54,7.18,2.6,42,0.003,0,3.8,Low
WQ-00159,2024-09-26,South West,Rogersfort,Lake,Dry,25.8,17.4,7.58,33.85,7.07,13.2,56,0.022,1,19.3,Low
WQ-00160,2024-09-21,North East,Ericashire,Well,Rainy,27.4,31.8,6.15,0.11,3.8,0.84,182,0.05,1,8.4,Low
WQ-00161,2025-10-01,North Central,Millsberg,Tap,Rainy,25.1,37.3,7.17,7.08,5.44,18.43,50,0.058,1,12.7,Low
WQ-00162,2024-08-15,South West,Nicholasburgh,Tap,Dry,33.1,22.2,6.73,6.8,6.75,19.42,19,0.086,1,13.6,Low
WQ-00163,2024-03-17,North East,Lesterton,Rainwater,Dry,29.8,39.7,7.46,17.09,6.59,7.55,53,0.004,2,11.6,Low
WQ-00164,2022-06-21,South South,Mendezside,Rainwater,Dry,27.6,13.2,8.03,22.3,7.21,23.46,370,0.0,1,19.5,Low
WQ-00165,2024-08-03,South West,Crosston,Tap,Dry,25.9,85.7,7.35,14.08,6.3,23.11,245,0.04,4,19.8,Low
WQ-00166,2024-02-16,North East,Troyland,Borehole,Rainy,26.0,10.8,6.63,18.24,8.47,28.96,82,0.022,1,16.1,Low
WQ-00167,2023-11-01,North West,Ericburgh,River,Rainy,30.9,94.9,9.27,8.3,6.43,3.53,150,0.011,2,15.3,Low
WQ-00168,2024-05-13,North West,North Calebville,Tap,Rainy,26.6,24.7,4.84,9.16,6.36,17.29,178,0.066,4,18.4,Low
WQ-00169,2022-02-09,North West,East Darrell,Borehole,Rainy,20.7,11.9,7.22,2.56,8.86,17.5,123,0.079,1,11.7,Low
WQ-00170,2023-12-18,South West,Paulfurt,Rainwater,Dry,22.0,15.6,4.62,17.98,4.89,17.39,398,0.007,5,20.2,Low
WQ-00171,2025-08-27,North East,Daltonborough,Lake,Dry,22.1,47.9,6.96,7.46,4.21,17.41,181,0.101,1,16.9,Low
WQ-00172,2023-02-13,North Central,Ryanhaven,Borehole,Dry,25.6,41.1,7.75,9.04,7.07,14.71,285,0.028,2,14.5,Low
WQ-00173,2023-05-04,North Central,Mendozaberg,Rainwater,Dry,29.6,17.9,4.44,37.1,8.08,17.23,143,0.041,5,27.4,Low
WQ-00174,2025-03-01,North East,Michellefurt,Tap,Dry,26.2,72.0,6.84,20.03,10.0,16.92,384,0.02,2,19.9,Low
WQ-00175,2024-01-26,North East,Lake Erika,Tap,Rainy,23.1,8.9,5.93,6.53,5.7,23.57,211,0.059,0,15.5,Low
WQ-00176,2022-12-02,North East,Smithberg,Rainwater,Dry,30.2,56.8,7.7,15.6,5.35,17.12,51,0.029,2,15.8,Low
WQ-00177,2023-10-01,North West,Staceyberg,Borehole,Dry,23.8,26.0,7.04,16.87,5.81,12.81,324,0.03,1,15.4,Low
WQ-00178,2024-03-23,South South,East Travisstad,Lake,Rainy,26.4,18.2,6.08,4.48,7.74,13.06,118,0.05,0,11.3,Low
WQ-00179,2025-04-27,South West,New Jonathanmouth,River,Dry,27.3,33.9,8.63,1.53,1.97,16.84,366,0.08,0,17.6,Low
WQ-00180,2022-07-28,South West,Randyhaven,Lake,Dry,22.6,57.9,7.57,16.04,8.09,42.6,197,0.01,2,21.2,Low
WQ-00181,2025-03-05,South West,Reidmouth,Well,Dry,28.3,14.4,6.01,20.97,6.5,14.91,110,0.036,1,16.9,Low
WQ-00182,2025-09-16,North Central,Bethanymouth,Well,Rainy,30.3,15.6,6.67,5.78,7.59,10.12,273,0.003,3,8.5,Low
WQ-00183,2022-01-26,North West,Rodriguezport,Borehole,Rainy,26.7,115.1,8.71,19.41,7.95,27.36,160,0.038,1,25.9,Low
WQ-00184,2024-06-06,South East,Andersonshire,Tap,Dry,29.5,75.1,7.49,11.0,2.25,15.17,22,0.022,1,13.5,Low
WQ-00185,2025-12-19,North West,Murphyview,Lake,Rainy,31.9,25.7,7.75,2.89,8.06,14.24,230,0.013,1,9.8,Low
WQ-00186,2024-12-04,North East,Lake Sarahberg,Tap,Dry,28.5,15.0,8.29,1.05,8.82,7.39,173,0.024,0,8.4,Low
WQ-00187,2024-08-10,South West,East Anthonychester,Well,Rainy,24.8,29.3,4.91,12.95,4.21,3.66,123,0.076,3,17.2,Low
WQ-00188,2023-10-23,South East,Cooperborough,Lake,Rainy,29.2,32.3,5.58,20.91,7.57,22.18,202,0.031,1,20.7,Low
WQ-00189,2024-07-12,North East,Michaelstad,Borehole,Rainy,29.7,51.1,8.18,6.06,3.26,17.56,268,0.024,2,14.9,Low
WQ-00190,2023-11-20,North East,Amandaburgh,Tap,Rainy,27.7,40.0,4.27,4.51,5.91,13.2,60,0.002,2,12.5,Low
WQ-00191,2023-01-08,North Central,Hernandezville,Tap,Rainy,27.1,39.7,6.75,6.8,5.51,9.02,190,0.01,2,9.4,Low
WQ-00192,2023-06-14,South East,South Cynthiaborough,River,Rainy,29.0,72.3,5.6,18.79,7.46,12.63,118,0.043,2,19.9,Low
